Item,GUID,Type,Reference
altRecipient,bf96791e-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-altRecipient
altRecipientBL,bf96791f-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-altRecipientBL
altSecurityIdentities,00fbf30c-91fe-11d1-aebc-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-altSecurityIdentities
anonymousAccess,a8df7392-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-anonymousAccess
anonymousAccount,a8df7393-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-anonymousAccount
aNR,45b01500-c419-11d1-bbc9-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-aNR
applicationEntity,3fdfee4f-47f4-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-applicationEntity
applicationName,dd712226-10e4-11d0-a05f-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-applicationName
applicationProcess,5fd4250b-1262-11d0-a060-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-applicationProcess
applicationSettings,f780acc1-56f0-11d1-a9c6-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-applicationSettings
applicationSiteSettings,19195a5c-6da0-11d0-afd3-00c04fd930c9,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-applicationSiteSettings
applicationVersion,ddc790ac-af4d-442a-8f0f-a1d4caa7dd92,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-applicationVersion
appliesTo,8297931d-86d3-11d0-afda-00c04fd930c9,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-appliesTo
appSchemaVersion,96a7dd65-9118-11d1-aebc-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-appSchemaVersion
assetNumber,ba305f75-47e3-11d0-a1a6-00c04fd930c9,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-assetNumber
assistant,0296c11c-40da-11d1-a9c0-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-assistant
associatedDomain,3320fc38-c379-4c17-a510-1bdf6133c5da,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-associatedDomain
associatedName,f7fbfc45-85ab-42a4-a435-780e62f7858b,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-associatedName
associationLifetime,a8df7396-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-associationLifetime
assocNTAccount,398f63c0-ca60-11d1-bbd1-0000f81f10c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-assocNTAccount
assocRemoteDXA,16775789-47f3-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-assocRemoteDXA
attributeCertificate,1677578b-47f3-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-attributeCertificate
attributeCertificateAttribute,fa4693bb-7bc2-4cb9-81a8-c99c43b7905e,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-attributeCertificateAttribute
attributeDisplayNames,cb843f80-48d9-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-attributeDisplayNames
attributeID,bf967922-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-attributeID
attributeSchema,bf967a80-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-attributeSchema
attributeSecurityGUID,bf967924-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-attributeSecurityGUID
attributeSyntax,bf967925-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-attributeSyntax
attributeTypes,9a7ad944-ca53-11d1-bbd0-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-attributeTypes
audio,d0e1d224-e1a0-42ce-a2da-793ba5244f35,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-audio
auditingPolicy,6da8a4fe-0e52-11d0-a286-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-auditingPolicy
authenticationOptions,bf967928-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-authenticationOptions
authOrig,a8df7397-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-authOrig
authOrigBL,a8df7398-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-authOrigBL
authorityRevocationList,1677578d-47f3-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-authorityRevocationList
authorizedDomain,a8df739a-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-authorizedDomain
authorizedPassword,a8df739b-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-authorizedPassword
authorizedUser,a8df739d-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-authorizedUser
autoReply,bf967929-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-autoReply
autoReplyMessage,bf96792a-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-autoReplyMessage
auxiliaryClass,bf96792c-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-auxiliaryClass
availableAuthorizationPackages,a8df739e-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-availableAuthorizationPackages
availableDistributions,a8df739f-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-availableDistributions
badPasswordTime,bf96792d-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-badPasswordTime
badPwdCount,bf96792e-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-badPwdCount
birthLocation,1f0075f9-7e40-11d0-afd6-00c04fd930c9,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-birthLocation
bootableDevice,4bcb2477-4bb3-4545-a9fc-fb66e136b435,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-bootableDevice
bootFile,e3f3cb4e-0f20-42eb-9703-d2ff26e52667,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-bootFile
bootParameter,d72a0750-8c7c-416e-8714-e65f11e908be,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-bootParameter
bridgeheadServerListBL,d50c2cdb-8951-11d1-aebc-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-bridgeheadServerListBL
bridgeheadServers,a8df73a0-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-bridgeheadServers
bridgeheadTransportList,d50c2cda-8951-11d1-aebc-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-bridgeheadTransportList
buildingName,f87fa54b-b2c5-4fd7-88c0-daccb21d93c5,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-buildingName
builtinCreationTime,bf96792f-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-builtinCreationTime
builtinDomain,bf967a81-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-builtinDomain
builtinModifiedCount,bf967930-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-builtinModifiedCount
businessCategory,bf967931-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-businessCategory
businessRoles,f0f8ff87-1191-11d0-a060-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-businessRoles
bytesPerMinute,ba305f76-47e3-11d0-a1a6-00c04fd930c9,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-bytesPerMinute
c,bf967945-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-c
cACertificate,bf967932-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cACertificate
cACertificateDN,963d2740-48be-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cACertificateDN
cAConnect,963d2735-48be-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cAConnect
canonicalName,9a7ad945-ca53-11d1-bbd0-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-canonicalName
canPreserveDNs,a8df73a9-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-canPreserveDNs
canUpgradeScript,d9e18314-8939-11d1-aebc-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-canUpgradeScript
carLicense,d4159c92-957d-4a87-8a67-8d2934e01649,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-carLicense
catalogs,7bfdcb81-4807-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-catalogs
categories,7bfdcb7e-4807-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-categories
categoryId,7d6c0e94-7e20-11d0-afd6-00c04fd930c9,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-categoryId
categoryRegistration,7d6c0e9d-7e20-11d0-afd6-00c04fd930c9,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-categoryRegistration
cAUsages,963d2738-48be-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cAUsages
cAWEBURL,963d2736-48be-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cAWEBURL
certificateAuthorityObject,963d2732-48be-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-certificateAuthorityObject
certificateChainV3,a8df73aa-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-certificateChainV3
certificateRevocationList,1677579f-47f3-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-certificateRevocationList
certificateRevocationListV1,a8df73ab-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-certificateRevocationListV1
certificateRevocationListV3,a8df73ac-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-certificateRevocationListV3
certificateTemplates,2a39c5b1-8960-11d1-aebc-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-certificateTemplates
certificationAuthority,3fdfee50-47f4-11d1-a9c3-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-certificationAuthority
characterSet,a8df73ad-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-characterSet
characterSetList,a8df73ae-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-characterSetList
classDisplayName,548e1c22-dea6-11d0-b010-0000f80367c1,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-classDisplayName
classRegistration,bf967a82-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-classRegistration
classSchema,bf967a83-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-classSchema
classStore,bf967a84-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-classStore
clientAccessEnabled,a8df73af-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-clientAccessEnabled
clockAlertOffset,a8df73b0-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-clockAlertOffset
clockAlertRepair,a8df73b1-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-clockAlertRepair
clockWarningOffset,a8df73b2-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-clockWarningOffset
clockWarningRepair,a8df73b3-c5ea-11d1-bbcb-0080c76670c0,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-clockWarningRepair
cn,bf96793f-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cn
co,f0f8ffa7-1191-11d0-a060-00aa006c33ed,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-co
codePage,bf967938-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-codePage
cOMClassID,bf96793b-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cOMClassID
cOMCLSID,281416d9-1968-11d0-a28f-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cOMCLSID
comConnectionPoint,bf967a85-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-comConnectionPoint
cOMInterfaceID,bf96793c-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-cOMInterfaceID
comment,bf967a6a-0de6-11d0-a285-00aa003049e2,Object/Attributes,https://learn.microsoft.com/en-us/windows/win32/adschema/a-comment
